"tconst","averageRating","numVotes","primaryTitle","releaseYear","runtimeMinutes","actorID","actorName","actorBirthYear","actorDeathYear","actorCategory","actorAlive","actorAge","directorID","directorName","directorBirthYear","directorDeathYear","directorAlive","directorAge","genre_Drama","genre_Fantasy","genre_Horror","genre_Crime","genre_Adventure","genre_Mystery","genre_Sci-Fi","genre_War","genre_Romance","genre_History","genre_Comedy","genre_Western","genre_Thriller","genre_Action","genre_Musical","genre_Film-Noir","genre_Music","genre_Documentary","genre_Family","genre_Biography","genre_Adult","genre_Sport","genre_Animation","genre_Reality-TV","genre_News"
"tt0011221",6,899,"Genuine: The Tragedy of a Vampire",1920,88,"nm0027992","Fern Andra",1893,1974,"actress",0,27,"nm0927468","Robert Wiene",1873,1938,0,47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0011234",4.2,13,"Go and Get It",1920,70,"nm0641776","Pat O'Malley",1890,1966,"actor",0,30,"nm0624714","Marshall Neilan",1891,1958,0,29,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0011237",7.2,6995,"The Golem",1920,76,"nm0917467","Paul Wegener",1874,1948,"actor",0,46,"nm0091380","Carl Boese",1887,1958,0,33,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0011243",4.1,7,"The Great London Mystery",1920,NA,"nm0222212","David Devant",1868,1941,"actor",0,52,NA,NA,NA,NA,NA,NA,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0011309",3.6,21,"The Hound of the Baskervilles",1921,NA,"nm0636385","Eille Norwood",1861,1948,"actor",0,60,"nm0002061","Maurice Elvey",1887,1967,0,34,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0011318",3.1,14,"Der Hund von Baskerville - 6. Teil: Das Haus ohne Fenster",1920,157,"nm0275670","Erwin Fichtner",NA,NA,"actor",NA,NA,"nm2542573","Willy Zeyn",1876,1946,0,44,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0011348",7.2,93,"The Head of Janus",1920,107,"nm0891998","Conrad Veidt",1893,1943,"actor",0,27,"nm0003638","F.W. Murnau",1888,1931,0,32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0011565",7.4,2098,"The Penalty",1920,90,"nm0165134","Charles Clary",1873,1931,"actor",0,47,"nm0941637","Wallace Worsley",1878,1944,0,42,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0011607",7.2,1094,"The Parson's Widow",1920,94,"nm0137320","Hildur Carlberg",1843,1920,"actress",0,77,"nm0003433","Carl Theodor Dreyer",1889,1968,0,31,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0011654",6.9,53,"Satanas",1920,60,"nm0466776","Fritz Kortner",1892,1970,"actor",0,28,"nm0003638","F.W. Murnau",1888,1931,0,32,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0012364",8.1,11042,"The Phantom Carriage",1921,107,"nm0803705","Victor Sjöström",1879,1960,"actor",0,42,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0012651",6.2,1641,"The Haunted Castle",1921,75,"nm0466232","Arnold Korff",1870,1944,"actor",0,51,"nm0003638","F.W. Murnau",1888,1931,0,33,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0012949",6.2,25,"A Blind Bargain",1922,57,"nm0151606","Lon Chaney",1883,1930,"actor",0,39,"nm0941637","Wallace Worsley",1878,1944,0,44,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0013170",6,9,"The Ghost Breaker",1922,57,"nm0717468","Wallace Reid",1891,1923,"actor",0,31,"nm0337586","Alfred E. Green",1889,1960,0,33,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0013223",5,240,"The Headless Horseman",1922,68,"nm0737259","Will Rogers",1879,1935,"actor",0,43,"nm0893418","Edward D. Venturini",1887,1960,0,35,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0013442",7.9,90158,"Nosferatu",1922,94,"nm0775180","Max Schreck",1879,1936,"actor",0,43,"nm0003638","F.W. Murnau",1888,1931,0,34,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0013458",5.5,105,"One Exciting Night",1922,128,"nm0218781","Carol Dempster",1901,1991,"actress",0,21,"nm0000428","D.W. Griffith",1875,1948,0,47,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0013579",6.8,890,"Warning Shadows",1923,90,"nm0334603","Alexander Granach",1893,1945,"actor",0,30,"nm0733208","Arthur Robison",1883,1935,0,40,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0014142",7.2,4930,"The Hunchback of Notre Dame",1923,133,"nm0151606","Lon Chaney",1883,1930,"actor",0,40,"nm0941637","Wallace Worsley",1878,1944,0,45,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0014160",4.7,6,"Itching Palms",1923,NA,"nm0302802","Tom Gallery",1897,1993,"actor",0,26,"nm0395023","James W. Horne",1881,1942,0,42,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0014188",5.2,6,"The Last Moment",1923,NA,"nm0401434","Henry Hull",1890,1977,"actor",0,33,"nm0713787","J. Parker Read Jr.",1885,1942,0,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0014509",6.7,70,"Der steinerne Reiter",1923,86,"nm0459030","Rudolf Klein-Rogge",1885,1955,"actor",0,38,"nm0920853","Fritz Wendhausen",1890,1962,0,33,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0014586",6.6,1853,"Waxworks",1924,107,"nm0417837","Emil Jannings",1884,1950,"actor",0,40,"nm0083532","Leo Birinsky",1884,1951,0,40,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0014602",7,20,"While Paris Sleeps",1923,60,"nm0151606","Lon Chaney",1883,1930,"actor",0,40,"nm0869665","Maurice Tourneur",1876,1961,0,47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0014826",5.6,115,"Dante's Inferno",1924,60,"nm0507635","Ralph Lewis",1872,1937,"actor",0,52,"nm0653253","Henry Otto",1877,1952,0,47,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0015202",7,2575,"The Hands of Orlac",1924,92,"nm0891998","Conrad Veidt",1893,1943,"actor",0,31,"nm0927468","Robert Wiene",1873,1938,0,51,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0015771",5.4,15,"The case of the murder of Tariel Mklavadze",1925,70,"nm0591880","Kote Mikaberidze",1896,1973,"actor",0,29,"nm0673375","Ivane Perestiani",1870,1959,0,55,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0016123",6.2,940,"The Monster",1925,86,"nm0151606","Lon Chaney",1883,1930,"actor",0,42,"nm0922327","Roland West",1885,1952,0,40,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0016220",7.6,17070,"The Phantom of the Opera",1925,93,"nm0151606","Lon Chaney",1883,1930,"actor",0,42,"nm0432216","Rupert Julian",1879,1943,0,46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0016640",6.4,376,"The Bells",1926,68,"nm0000859","Lionel Barrymore",1878,1954,"actor",0,48,"nm0949648","James Young",1872,1948,0,54,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0016847",8.1,14186,"Faust",1926,107,"nm0252472","Gösta Ekman",1890,1938,"actor",0,36,"nm0003638","F.W. Murnau",1888,1931,0,38,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
